problem_id,type_group_id,type_bounds,Len,type_bounds_score,n_testcases,specification_no,extract_no,Use?,Assignee,additional_notes,Subjective Score (1-10),type_group_id_int,,
p01413,p01413_4,"Types: 
- N: int
- M: int
- W: int
- T: int
- S[i]: str
- V[i]: int
- P[i]: int
- L[i]: int
- X[i]: int
- Y[i]: int
- R[i][j]: str
- Q[i][j]: int

Ranges: 
- 1 ≤ N ≤ 10^2
- 1 ≤ M ≤ 10^2
- 1 ≤ W ≤ 10^4
- 1 ≤ T ≤ 10^4
- 1 ≤ V[i] ≤ 10^3
- 1 ≤ P[i] ≤ 10^4
- 1 ≤ L[i] ≤ 10^2
- -10^3 ≤ X[i] ≤ 10^3
- -10^3 ≤ Y[i] ≤ 10^3
- 1 ≤ Q[i][j] ≤ 10^4

Addtl Info: 
- S[i] is a string with a maximum length of 20 characters. 
- R[i][j] is a string with a maximum length of 20 characters.",470,10,103,NA,NA,FALSE,Alex,too complex / the nl description is not good ,,1413,Done and True: ,51
p02238,p02238_4,"Types: n: int, G: List[Tuple[int, int, List[int]]]
Ranges: 1 ≤ n ≤ 100, 1 ≤ u ≤ n, 0 ≤ k ≤ n-1, 1 ≤ v_i ≤ n
Addtl Info: Vertices are identified by IDs 1, 2, ..., n respectively, IDs in the adjacency list are arranged in ascending order, and the input graph is represented as an adjacency list where each entry is a tuple (u, k, [v1, v2, ..., vk]).",347,9,103,1,1,TRUE,Alex,,,2238,Alex: ,37
p03634,p03634_4,"Types: N: int, a: List[int], b: List[int], c: List[int], Q: int, K: int, x: List[int], y: List[int]

Ranges: 3 ≤ N ≤ 10^5, 1 ≤ a_i, b_i ≤ N (1 ≤ i ≤ N-1), 1 ≤ c_i ≤ 10^9 (1 ≤ i ≤ N-1), 1 ≤ Q ≤ 10^5, 1 ≤ K ≤ N, 1 ≤ x_j, y_j ≤ N (1 ≤ j ≤ Q), x_j ≠ y_j (1 ≤ j ≤ Q), x_j ≠ K, y_j ≠ K (1 ≤ j ≤ Q)

Addtl Info: The given graph is a tree.",331,9,104,1,1,TRUE,Alex,,,3634,Botong: ,35
p03722,p03722_4,"Types: N: int, M: int, a: List[int], b: List[int], c: List[int]
Ranges: 2 ≤ N ≤ 1000, 1 ≤ M ≤ min(N(N-1), 2000), 1 ≤ a[i], b[i] ≤ N (1 ≤ i ≤ M), -10^9 ≤ c[i] ≤ 10^9 (1 ≤ i ≤ M)
Addtl Info: a_i≠b_i (1≤i≤M), a_i≠a_j or b_i≠b_j (1≤i<j≤M), a_i, b_i, c_i are integers, there exists a path from vertex 1 to vertex N",309,9,104,1,1,TRUE,Alex,,,3722,,
p00780,p00780_4,"Types: even_numbers: List[int]

Ranges: 4 ≤ even_numbers[i] < 215

Addtl Info: all integers in even_numbers are even, input terminated by 0",139,9,102,1,1,TRUE,Alex,,,780,,
p01547,p01547_4,"Types: 
- Number of polygons: int
- Number of polygon vertices: List[int]
- x-coordinate: List[List[int]]
- y-coordinate: List[List[int]]
- Number of occurrence points and important facility data: int
- x-coordinate of the occurrence position: List[int]
- y-coordinate of the occurrence position: List[int]
- x-coordinate of the important facility: List[int]
- y-coordinate of the important facility: List[int]

Ranges:
- Number of polygons: 1 ≤ number of polygons ≤ 5
- Number of polygon vertices[i]: 3 ≤ number of polygon vertices[i] ≤ 5
- x-coordinate[i][j], y-coordinate[i][j]: -1000 ≤ x-coordinate[i][j], y-coordinate[i][j] ≤ 1000
- Number of occurrence points and important facility data: 1 ≤ number of occurrence points and important facility data ≤ 100
- x-coordinate of the occurrence position[i], y-coordinate of the occurrence position[i], x-coordinate of the important facility[i], y-coordinate of the important facility[i]: -1000 ≤ x-coordinate of the occurrence position[i], y-coordinate of the occurrence position[i], x-coordinate of the important facility[i], y-coordinate of the important facility[i] ≤ 1000

Addtl Info: 
- The coordinates included in the input are integers.
- A polygon refers to a polygon that can be created by connecting the given vertices in order, and has no self-intersection.
- Neither the occurrence point nor the important facility is on the vertex or the edge of the polygon.",1420,9,106,2,2,TRUE,Alex,,,1547,,
p03099,p03099_4,"Types: 
- N: int 
- M: int
- coordinates_and_values: List[Tuple[int, int, int]]
- conditions: List[Tuple[str, int, int]]

Ranges: 
- 1 ≤ N ≤ 80
- 1 ≤ x_i, y_i ≤ 100
- 1 ≤ v_i ≤ 10^15
- 1 ≤ M ≤ 320
- t_i in {'L', 'R', 'U', 'D'}
- 1 ≤ a_i ≤ 100
- 0 ≤ b_i ≤ N - 1

Addtl Info: 
- (x_i, y_i) are pairwise distinct.
- (t_i, a_i) are pairwise distinct.
- (t_i, b_i) are pairwise distinct.",382,8,105,1,1,TRUE,Alex,,,3099,,
p00608,p00608_4,"Types: H: int, W: int, Grid: List[str], n: int, Characters: List[str]

Ranges: 
1 ≤ H ≤ 10,
1 ≤ W ≤ 10,
H * W characters in Grid,
1 ≤ n ≤ 10,
0 ≤ Characters[i] ≤ 9 or Characters[i] in {'+', '-', '*', '/', '='}

Addtl Info: Judge data includes at most 100 data sets, input ends with a line containing ""0 0""",305,8,82,1,1,TRUE,Alex,,,608,,
p01599,p01599_4,"Types:  
NAB: int, NBA: int,  
AB: List[Tuple[int, int, int]],  
BA: List[Tuple[int, int, int]]  

Ranges:  
0 ≤ NAB ≤ 50,  
0 ≤ NBA ≤ 50,  
1 ≤ Ci ≤ 10,  
0 ≤ Di < 86400,  
0 ≤ Ai < 86400  

Addtl Info:  
NAB + NBA ≤ 50",220,8,103,NA,NA,FALSE,Alex,NAB/NBA variable names,,1599,,
p00950,p00950_4,"Types: input_string: str

Ranges: 1 ≤ len(input_string) ≤ 31

Addtl Info: input_string contains only Roman alphabet characters (both lowercase and uppercase), binary digits (""0"" and ""1""), operator symbols (""+"", ""-"", ""*""), parentheses (""("" and "")""), and equal signs (""="").",271,8,102,3,3,TRUE,Alex,,,950,,
p00625,p00625_4,"Types: N: int, M: int, Dix: float, Diy: float, Vi: float, FPix: float, FPin: float, FVix: float, FViy: float
Ranges: 1 ≤ N ≤ 10, 1 ≤ M ≤ 1000, -1000 ≤ Dix, Diy, FPix, FPin ≤ 1000, 1 ≤ Vi ≤ 100, -25 ≤ FVix, FViy ≤ 25
Addtl Info: N = 0 and M = 0 indicates the end of input, absolute values of x and y coordinates of dogs do not exceed 1e+8 during simulation, no Frisbee is unattainable by any dog, no dog can acquire a Frisbee before t + 1e-6 seconds after it is acquired by another dog.",485,7,102,1,1,TRUE,Alex,,,625,,
p01040,p01040_4,"Types: Y1: int, M1: int, D1: int, Y2: int, M2: int, D2: int  
Ranges: 1 ≤ Y1 ≤ Y2 ≤ 10^18, 1 ≤ M1, M2 ≤ 12, 1 ≤ D1, D2 ≤ 31 (for months 1, 3, 5, 7, 8, 10, 12), 1 ≤ D1, D2 ≤ 30 (for months 4, 6, 9, 11), 1 ≤ D1, D2 ≤ 28 (for February in a non-leap year), 1 ≤ D1, D2 ≤ 29 (for February in a leap year)  
Addtl Info: Y1, M1, D1 is a date that is at least 0 days before Y2, M2, D2",375,7,104,1,1,TRUE,Alex,,,1040,,
