problem_id,type_group_id,type_bounds,n_testcases,is_duplicate,specification_no,extract_no,additional_notes,Subjective Score (1-10),Use?,type_group_id_int
p03462,group1_2,"Types: N: int, K: int, s: str
Ranges: 1 ≤ N ≤ 70, 1 ≤ K ≤ 70, |s| = K
Addtl Info: s consists of characters 'r' and 'b' only",105,False,,,,,False,1.0
p01130,group2_2,"Types: n: int, m: int, s: int, g1: int, g2: int, b1: int, b2: int, c: int
Ranges: 3 ≤ n ≤ 100, 2 ≤ m ≤ 1000, 1 ≤ s ≤ n, 1 ≤ g1 ≤ n, 1 ≤ g2 ≤ n, 1 ≤ b1 ≤ n, 1 ≤ b2 ≤ n, 1 ≤ c ≤ 1000
Addtl Info: s, g1, and g2 are distinct, b1 and b2 are distinct, the input ends with a line containing ""0 0 0 0 0""",102,False,,,,,False,2.0
p03743,group3_2,"Types: N: int, D: int, d: List[int], Q: int, q: List[int]
Ranges: 1 ≤ N ≤ 5*10^5, 1 ≤ D ≤ 10^9, 1 ≤ d_i ≤ 10^9 (1 ≤ i ≤ N), 1 ≤ Q ≤ 5*10^5, 1 ≤ q_i ≤ N (1 ≤ i ≤ Q)
Addtl Info: None",104,False,,,,,False,3.0
p00222,group4_2,"Types: n: int
Ranges: 13 ≤ n ≤ 10,000,000
Addtl Info: No more than 2000 datasets, input ends with a single zero",102,False,,,,,False,4.0
p00168,group5_2,"Types: n: int
Ranges: 1 ≤ n ≤ 30
Addtl Info: There are no more than 30 datasets; the end of the input is indicated by a single zero line.",102,False,,,,,False,5.0
p01897,group6_2,"Types: N: int, M: int, a: List[int], b: List[int]  
Ranges: 3 ≤ N ≤ 500, max(3, N−1) ≤ M ≤ 30000, 1 ≤ a_i, b_i ≤ N  
Addtl Info: The graph is connected when ignoring the direction of edges. \(a_i \neq b_i\) for all \(i\). \(\{a_i, b_i\} \neq \{a_j, b_j\}\) for all \(i \neq j\).",102,False,,,,,False,6.0
p01495,group7_2,"Types: N: int, X: int, Y: int, Z: int
Ranges: 1 ≤ N ≤ 1,000; 0 ≤ X, Y, Z ≤ 10^18
Addtl Info: None",102,False,,,,,False,7.0
p03346,group8_2,"Types: N: int, P: List[int]

Ranges: 1 ≤ N ≤ 2 × 10^5, P is a permutation of (1, 2, ..., N)

Addtl Info: None",23,False,,,,,False,8.0
p03904,group9_2,"Types: K: int, S: str  
Ranges: 0 ≤ K < |S| ≤ 100,000, S consists of digits between 1 and 9, inclusive  
Addtl Info: None",104,False,,,,,False,9.0
p03615,group10_2,"Types: N: int, x: List[int], y: List[int]

Ranges: 1 ≤ N ≤ 200, 0 ≤ x[i], y[i] < 10^4

Addtl Info: x[i], y[i] are integers, if i ≠ j, x[i] ≠ x[j] or y[i] ≠ y[j]",104,False,,,,,False,10.0
p04028,group11_2,"Types: N: int, s: str  
Ranges: 1 ≤ N ≤ 5000, 1 ≤ |s| ≤ N  
Addtl Info: s consists of the letters '0' and '1'",104,False,,,,,False,11.0
p02962,group12_2,"Types: s: str, t: str  
Ranges: 1 ≤ |s| ≤ 5 × 10^5, 1 ≤ |t| ≤ 5 × 10^5  
Addtl Info: s and t consist of lowercase English letters",104,False,,,,,False,12.0
p00311,group13_2,"Types: h1: int, h2: int, k1: int, k2: int, a: int, b: int, c: int, d: int
Ranges: 0 ≤ h1 ≤ 100, 0 ≤ h2 ≤ 100, 0 ≤ k1 ≤ 100, 0 ≤ k2 ≤ 100, 1 ≤ a ≤ 100, 1 ≤ b ≤ 100, 0 ≤ c ≤ 100, 0 ≤ d ≤ 100
Addtl Info: None",104,False,,,,,False,13.0
p00447,group14_2,"Types: m: int, constellation: List[Tuple[int, int]], n: int, photo: List[Tuple[int, int]]
Ranges: 1 ≤ m ≤ 200, 1 ≤ n ≤ 1000, 0 ≤ x, y ≤ 1000000
Addtl Info: No more than 5 datasets, m = 0 indicates end of input",102,False,,,,,False,14.0
